combo_id,lambda_1,lambda_2,lambda_3,gamma,beta
0,2.741333249159958,72.68235148717028,80.47656384746998,8.0,1.0
1,15.956391144991207,1.2075034343473725,21.66158165476068,8.0,1.0
2,29.981350840705595,21.20628674045613,41.95003883750985,8.0,1.0
3,5.047970115139806,3.1500439744823776,29.198507933994915,8.0,1.0
4,7.2036238062243125,14.331182483422792,17.952121449516902,8.0,1.0
5,20.85637207472957,6.235558843565179,67.56596184526441,8.0,1.0
6,11.319752045745524,37.35358060246475,34.473153625212085,8.0,1.0
7,3.836316936014779,1.8175025108027545,50.36088709968082,8.0,1.0
8,4.309937218580128,17.04941576073954,32.39862913021329,8.0,1.0
9,10.07277085308888,4.268711647201973,57.28135560943314,8.0,1.0
10,18.561705262905477,58.42729279095935,16.84060855518808,8.0,1.0
11,8.091712121953568,1.6361024667937056,76.99304495268427,8.0,1.0
12,6.129055036536759,28.7696830215973,48.1586705235667,8.0,1.0
13,24.685560234458247,2.4837908587621804,26.78843149728715,8.0,1.0
14,13.139942563505876,11.03933575544808,92.21626702048482,8.0,1.0
15,3.3279100397667043,8.522626664939555,19.910437348193874,8.0,1.0
16,3.0675710015418116,9.416239555673082,59.615544384433825,8.0,1.0
17,12.11646499962984,7.087295187906949,32.68048924040163,8.0,1.0
18,22.75165345805465,32.3147495373137,71.25549239552963,8.0,1.0
19,5.651933175637035,2.718356501870365,15.154772431876362,8.0,1.0
20,7.517130972713109,48.63931416572268,24.23552066980005,8.0,1.0
21,17.232015581876595,1.397042690452631,44.78712652008213,8.0,1.0
22,9.357948497174657,18.63958623733158,20.2940333807439,8.0,1.0
23,4.000691390787331,4.7895853274956215,97.0244054596359,8.0,1.0
24,3.5616378126714228,43.79079389415021,23.998579696549893,8.0,1.0
25,10.514712719268939,2.185511551045979,86.41568350732896,8.0,1.0
26,19.36510720235086,12.758553690332374,28.606344978081495,8.0,1.0
27,6.691134393125654,5.69730064904996,39.96427427068633,8.0,1.0
28,4.655680549366163,25.472882631012887,65.01178057387433,8.0,1.0
29,27.62856342322231,3.688948356580656,17.75584067747247,8.0,1.0
30,14.715948983862228,66.47943919622394,54.29082863342039,8.0,1.0
31,2.526467854939119,1.076149022946918,38.360753467785806,8.0,1.0
