AAPL                                Apple Incorporated
MSFT                                Microsoft Corporation
GOOGL                               Alphabet Incorporated
AMZN                                Amazon.com Incorporated
META                                Meta Platforms Incorporated
TSLA                                Tesla IncorporatedSLA
NVDA                                NVIDIA Corporation
JPM                                 JPMorgan Chase & Company
V                                   Visa Incorporated
CAT                                 Caterpillar Incorporated
GE                                  GE Aerospace
UNP                                 Union Pacific Corporation
HON                                 Honeywell International
NEE                                 NextEra Energy Incorporated
TJX                                 TJX Companies Incorporated
BKNG                                Booking Holdings Incorporated
CMG                                 Chipotle Mexican Grill
MAR                                 Marriott International
BLK                                 BlackRock Incorporated
AXP                                 American Express Company
