------------ Technology & Semiconductors ------------

AAPL                                Apple Incorporated
MSFT                                Microsoft Corporation
NVDA                                NVIDIA Corporation
ADBE                                Adobe Incorporated
AVGO                                Broadcom Incorporated
AMD                                 Advanced Micro Devices
CRM                                 Salesforce Incorporated
CSCO                                Cisco Systems Incorporated
ORCL                                Oracle Corporation
QCOM                                Qualcomm Incorporated
NOW                                 ServiceNow Incorporated
INTU                                Intuit Incorporated
IBM                                 IBM Corporation
AMAT                                Applied Materials Incorporated
MU                                  Micron Technology Incorporated
PANW                                Palo Alto Networks Incorporated
ACN                                 Accenture Plc
TXN                                 Texas Instruments Incorporated
LRCX                                Lam Research Corporation
KLAC                                KLA Corporation
SNPS                                Synopsys Incorporated
CDNS                                Cadence Design Systems
ANET                                Arista Networks Incorporated
PLTR                                Palantir Technologies
MSI                                 Motorola Solutions Incorporated
WDC                                 Western Digital Corporation
ADSK                                Autodesk Incorporated
NET                                 Cloudflare Incorporated

------------ Communication Services & Media ------------

GOOGL                               Alphabet Incorporated
META                                Meta Platforms Incorporated
DIS                                 The Walt Disney Company
VZ                                  Verizon Communications
CMCSA                               Comcast Corporation
NFLX                                Netflix Incorporated
T                                   AT&T Incorporated
TMUS                                T-Mobile US Incorporated
CHTR                                Charter Communications
EA                                  Electronic Arts Incorporated

------------ Financials, Fintech & Payments ------------

JPM                                 JPMorgan Chase & Company
BAC                                 Bank of America Corporation
V                                   Visa Incorporated
MA                                  Mastercard Incorporated
MS                                  Morgan Stanley
GS                                  Goldman Sachs Group Incorporated
WFC                                 Wells Fargo & Company
BLK                                 BlackRock Incorporated
AXP                                 American Express Company
PYPL                                PayPal Holdings Incorporated
C                                   Citigroup Incorporated
SPGI                                S&P Global Incorporated
SCHW                                Charles Schwab Corporation

------------ Healthcare & Pharmaceuticals ------------

JNJ                                 Johnson & Johnson
LLY                                 Eli Lilly & Company
UNH                                 UnitedHealth Group Incorporated
PFE                                 Pfizer Incorporated
MRK                                 Merck & Company Incorporated
ABBV                                AbbVie Incorporated
TMO                                 Thermo Fisher Scientific
AMGN                                Amgen Incorporated
MDT                                 Medtronic plc
ISRG                                Intuitive Surgical Incorporated
BMY                                 Bristol-Myers Squibb
CVS                                 CVS Health Corporation
CI                                  The Cigna Group
REGN                                Regeneron Pharmaceuticals
GILD                                Gilead Sciences Incorporated

------------ Consumer Discretionary & Retail ------------

AMZN                                Amazon.com Incorporated
TSLA                                Tesla Incorporated
HD                                  Home Depot Incorporated
NKE                                 Nike Incorporated
MCD                                 McDonald's Corporation
LOW                                 Lowe's Companies Incorporated
SBUX                                Starbucks Corporation
TJX                                 TJX Companies Incorporated
BKNG                                Booking Holdings Incorporated
CMG                                 Chipotle Mexican Grill
MAR                                 Marriott International
F                                   Ford Motor Company
GM                                  General Motors Company
ORLY                                O'Reilly Automotive Incorporated
LVS                                 Las Vegas Sands Corporation

------------ Consumer Staples ------------ 

WMT                                 Walmart Incorporated
PG                                  Procter & Gamble Company
KO                                  Coca-Cola Company
PEP                                 PepsiCo Incorporated
COST                                Costco Wholesale Corporation
PM                                  Philip Morris International
MO                                  Altria Group Incorporated
MDLZ                                Mondelez International Incorporated
CL                                  Colgate-Palmolive Company
TGT                                 Target Corporation

------------ Industrials, Energy & Utilities ------------ 

XOM                                 Exxon Mobil Corporation
CVX                                 Chevron Corporation
CAT                                 Caterpillar Incorporated
GE                                  GE Aerospace
UNP                                 Union Pacific Corporation
HON                                 Honeywell International
NEE                                 NextEra Energy Incorporated
